KRAS	103508.7719/1Mbp
TP53	64297.8003/1Mbp
NRAS	26315.7895/1Mbp
APC	19104.5476/1Mbp
PECAM1	18518.5185/1Mbp
FBXW7	15536.7232/1Mbp
SMAD4	13261.0006/1Mbp
OR51V1	11387.1636/1Mbp
DEFB119	11235.9551/1Mbp
UBE2NL	10822.5108/1Mbp
KRTAP6-2	10582.0106/1Mbp
GML	10482.1803/1Mbp
SLN	10416.6667/1Mbp
PIK3CA	10289.9906/1Mbp
C1orf189	9803.9216/1Mbp
HIST1H4E	9615.3846/1Mbp
IMMP2L	9469.697/1Mbp
WBSCR17	9460.2115/1Mbp
CALCA	9389.6714/1Mbp
RPS23	9259.2593/1Mbp
BRAF	9126.4668/1Mbp
ASB5	9090.9091/1Mbp
CHCHD5	9009.009/1Mbp
CCL27	8849.5575/1Mbp
QKI	8771.9298/1Mbp
GNG3	8771.9298/1Mbp
FAM127B	8771.9298/1Mbp
NMS	8658.0087/1Mbp
ISL1	8571.4286/1Mbp
OR2M4	8547.0085/1Mbp
OR6N1	8519.7018/1Mbp
CRYBA4	8460.2369/1Mbp
TPTE	8454.1063/1Mbp
CDH10	8449.5142/1Mbp
B2M	8333.3333/1Mbp
RNASE11	8333.3333/1Mbp
ARL2BP	8130.0813/1Mbp
DEFB113	8032.1285/1Mbp
FERD3L	7984.0319/1Mbp
CD70	7974.4817/1Mbp
KRTAP1-3	7936.5079/1Mbp
ACVR1B	7921.9988/1Mbp
PTN	7889.5464/1Mbp
SMAD2	7834.7578/1Mbp
HIST1H2BA	7812.5/1Mbp
C12orf54	7812.5/1Mbp
INSL6	7788.162/1Mbp
SAT1	7751.938/1Mbp
CPXCR1	7726.2693/1Mbp
CELA1	7722.0077/1Mbp
CETN1	7707.1291/1Mbp
KCNE1	7692.3077/1Mbp
TNFRSF10C	7692.3077/1Mbp
TMEM105	7692.3077/1Mbp
MFAP5	7662.8352/1Mbp
C22orf23	7645.2599/1Mbp
CD40LG	7633.5878/1Mbp
DCAF4L2	7575.7576/1Mbp
NDUFAF4	7575.7576/1Mbp
CHST10	7469.6545/1Mbp
LSM1	7462.6866/1Mbp
SGCZ	7454.7391/1Mbp
OR2L13	7454.7391/1Mbp
GCNT2	7444.1687/1Mbp
PYDC1	7407.4074/1Mbp
CLDN17	7407.4074/1Mbp
ZNF593	7407.4074/1Mbp
CYTL1	7299.2701/1Mbp
MAP2K4	7299.2701/1Mbp
HIST1H3C	7299.2701/1Mbp
TMEM217	7246.3768/1Mbp
TMSB15A	7246.3768/1Mbp
SSX5	7246.3768/1Mbp
NANOS2	7194.2446/1Mbp
TCF7L2	7186.2908/1Mbp
SNRPE	7168.4588/1Mbp
S100B	7168.4588/1Mbp
CCDC160	7157.4642/1Mbp
PDZD11	7092.1986/1Mbp
ACTBL2	7073.3864/1Mbp
SOHLH2	7042.2535/1Mbp
IFNA16	7017.5439/1Mbp
ZNF479	6984.127/1Mbp
SLC16A7	6958.9422/1Mbp
CLECL1	6944.4444/1Mbp
PDCD6	6944.4444/1Mbp
SEC11C	6908.4629/1Mbp
KCNIP1	6887.0523/1Mbp
RHOA	6872.8522/1Mbp
ANGPTL5	6855.1842/1Mbp
BAALC	6849.3151/1Mbp
MBD3L1	6837.6068/1Mbp
KRTAP22-1	6802.7211/1Mbp
S100A2	6802.7211/1Mbp
SPANXC	6802.7211/1Mbp
CASP8	6802.7211/1Mbp
SERTAD3	6768.1895/1Mbp
PROKR1	6768.1895/1Mbp
OR4A15	6763.285/1Mbp
HBE1	6756.7568/1Mbp
GEM	6734.0067/1Mbp
DDI1	6717.0445/1Mbp
SSBP1	6711.4094/1Mbp
RAMP3	6711.4094/1Mbp
OR2M2	6704.9808/1Mbp
FAM133A	6693.4404/1Mbp
ESR1	6688.9632/1Mbp
CYLC2	6685.7689/1Mbp
HIGD1B	6666.6667/1Mbp
DNAJC5B	6666.6667/1Mbp
DNAJC24	6666.6667/1Mbp
DIRAS2	6666.6667/1Mbp
DPY30	6666.6667/1Mbp
TUBA3C	6651.8847/1Mbp
MS4A5	6633.4992/1Mbp
PTH2	6600.6601/1Mbp
C3orf79	6600.6601/1Mbp
BGLAP	6600.6601/1Mbp
CRYBB1	6587.6153/1Mbp
FGF14	6587.6153/1Mbp
GRIA1	6543.0752/1Mbp
HLA-DRA	6535.9477/1Mbp
IL3	6535.9477/1Mbp
VMA21	6535.9477/1Mbp
S100A7	6535.9477/1Mbp
FMR1NB	6510.4167/1Mbp
POU4F2	6504.065/1Mbp
IL4	6493.5065/1Mbp
IL2	6493.5065/1Mbp
DAOA	6493.5065/1Mbp
ACVR2A	6485.0843/1Mbp
MRAP2	6472.4919/1Mbp
FOLR1	6459.9483/1Mbp
IQCF3	6451.6129/1Mbp
SPATA17	6445.6722/1Mbp
VGLL1	6435.0064/1Mbp
PI15	6435.0064/1Mbp
RPL39	6410.2564/1Mbp
PRM1	6410.2564/1Mbp
TCTA	6410.2564/1Mbp
DKK2	6410.2564/1Mbp
OR2L3	6389.7764/1Mbp
CDH9	6329.1139/1Mbp
TBC1D28	6319.1153/1Mbp
MYOZ2	6289.3082/1Mbp
FAM24A	6289.3082/1Mbp
FMO3	6253.9087/1Mbp
CST9	6250.0/1Mbp
TSLP	6250.0/1Mbp
PSG8	6245.121/1Mbp
INHBA	6245.121/1Mbp
OR2T33	6230.5296/1Mbp
CXCL11	6230.5296/1Mbp
OR7C1	6230.5296/1Mbp
EBAG9	6230.5296/1Mbp
CLEC4C	6230.5296/1Mbp
OR52N1	6230.5296/1Mbp
TSPAN5	6195.7869/1Mbp
MRGPRX1	6191.9505/1Mbp
OR6T1	6172.8395/1Mbp
HIST1H1A	6172.8395/1Mbp
CNTN6	6154.8429/1Mbp
BLID	6116.208/1Mbp
OCM	6060.6061/1Mbp
PSMB9	6060.6061/1Mbp
CNRIP1	6060.6061/1Mbp
ZIC4	6060.6061/1Mbp
FLRT2	6051.4372/1Mbp
KCNA1	6048.3871/1Mbp
CACNG5	6038.6473/1Mbp
DSTN	6024.0964/1Mbp
OR10S1	6024.0964/1Mbp
SCGN	6016.8472/1Mbp
GPX5	6006.006/1Mbp
MIER3	5995.2038/1Mbp
REG1A	5988.024/1Mbp
PRG2	5979.0732/1Mbp
SOD2	5979.0732/1Mbp
TNP1	5952.381/1Mbp
GEMIN6	5952.381/1Mbp
PAGE2	5952.381/1Mbp
BEX5	5952.381/1Mbp
FAM163A	5952.381/1Mbp
XRCC2	5931.1981/1Mbp
DKK4	5925.9259/1Mbp
GUCA2B	5899.705/1Mbp
KRTAP12-4	5899.705/1Mbp
LOC286238	5899.705/1Mbp
SOX9	5882.3529/1Mbp
LEPROTL1	5882.3529/1Mbp
CDH2	5880.1911/1Mbp
PCDHB5	5862.6466/1Mbp
TPM2	5847.9532/1Mbp
METTL6	5847.9532/1Mbp
DEFB112	5847.9532/1Mbp
NAALAD2	5847.9532/1Mbp
DAD1	5847.9532/1Mbp
DCTPP1	5847.9532/1Mbp
PATE2	5847.9532/1Mbp
IL26	5813.9535/1Mbp
TCL1A	5797.1014/1Mbp
S100A9	5797.1014/1Mbp
TRIM44	5797.1014/1Mbp
OLFML1	5789.909/1Mbp
GUCY1A3	5788.712/1Mbp
KRTAP13-1	5780.3468/1Mbp
TREM2	5772.0058/1Mbp
LIFR	5768.0631/1Mbp
GABRA5	5759.5392/1Mbp
MARCO	5758.1574/1Mbp
MAGEB1	5747.1264/1Mbp
OR13C3	5747.1264/1Mbp
BCL7A	5747.1264/1Mbp
